City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,portland,45.5234,-122.6762,4.34,85,100,3.6,US,1670294427
280,thompson,55.7435,-97.8558,-32.91,68,0,2.57,CA,1670294480
281,grootfontein,-19.5667,18.1167,21.76,23,42,1.03,NA,1670294754
282,montabaur,50.4333,7.8333,2.34,99,100,1.13,DE,1670294754
283,acapulco,16.8634,-99.8901,25.24,79,0,2.16,MX,1670294754
284,hobyo,5.3505,48.5268,25.74,84,64,8.66,SO,1670294755
285,bureya,49.8133,129.8131,-14.62,85,100,3.51,RU,1670294755
286,tres coracoes,-21.6969,-45.2533,18.17,97,100,1.11,BR,1670294647
287,inhambane,-23.865,35.3833,24.87,90,77,3.25,MZ,1670294755
288,belaya gora,68.5333,146.4167,-40.99,96,36,0.49,RU,1670294756
289,tura,25.5198,90.2201,21.16,63,0,0.6,IN,1670294492
290,metro,-5.1131,105.3067,29.96,61,87,0.71,ID,1670294756
291,trelew,-43.249,-65.3051,23.11,27,7,10.92,AR,1670294651
292,pevek,69.7008,170.3133,-21.97,78,100,2.26,RU,1670294756
293,sarangani,5.4033,125.4636,27.87,78,83,8.84,PH,1670294757
294,ambilobe,-13.2,49.05,24.01,82,3,1.06,MG,1670294757
295,cabinda,-5.55,12.2,25.7,88,100,2.57,AO,1670294757
296,hambantota,6.1241,81.1185,24.19,100,40,1.03,LK,1670294757
297,vila do maio,15.1333,-23.2167,21.44,69,22,3.21,CV,1670294758
298,cayenne,4.9333,-52.3333,24.02,100,100,0.51,GF,1670294594
299,vikhorevka,56.1201,101.1636,-12.23,86,100,7.3,RU,1670294758
300,leningradskiy,69.3833,178.4167,-22.62,90,87,2.25,RU,1670294758
301,ulsteinvik,62.3432,5.8487,5.42,84,100,4.02,NO,1670294759
302,rahden,52.4333,8.6167,2.17,97,100,1.71,DE,1670294759
303,mata,40.683,-7.4592,8.4,98,100,1.45,PT,1670294759
304,pacific grove,36.6177,-121.9166,11.82,90,0,2.24,US,1670294760
305,isangel,-19.55,169.2667,33.06,70,84,2.06,VU,1670294711
306,viedma,-40.8135,-62.9967,24.39,45,84,4.53,AR,1670294760
307,mayo,38.8876,-76.5119,5.63,93,0,2.06,US,1670294643
308,kodiak,57.79,-152.4072,0.73,100,100,2.57,US,1670294536
309,naryan-mar,67.6713,53.087,-13.75,94,99,6.0,RU,1670294761
310,lorengau,-2.0226,147.2712,26.9,84,99,5.16,PG,1670294761
311,yeppoon,-23.1333,150.7333,31.88,51,0,4.84,AU,1670294761
312,cairns,-16.9167,145.7667,37.26,52,0,4.63,AU,1670294503
313,kodinsk,58.6881,99.1844,-12.68,94,100,5.6,RU,1670294712
314,baghmara,23.795,86.2085,18.49,35,0,2.95,IN,1670294762
315,erenhot,43.6475,111.9767,-10.29,42,0,7.87,CN,1670294762
316,lompoc,34.6391,-120.4579,12.1,94,0,2.57,US,1670294762
317,riyadh,24.6877,46.7219,18.08,44,4,4.19,SA,1670294672
318,road town,18.4167,-64.6167,26.05,65,23,8.18,VG,1670294763
319,sorland,67.667,12.6934,1.92,78,100,14.97,NO,1670294763
320,west bay,19.3667,-81.4167,26.11,71,20,6.17,KY,1670294764
321,sao gabriel da cachoeira,-0.1303,-67.0892,23.84,91,100,0.88,BR,1670294517
322,kokoda,-8.8785,147.7407,28.15,82,99,1.19,PG,1670294764
323,nome,64.5011,-165.4064,-0.96,80,100,13.38,US,1670294721
324,pisco,-13.7,-76.2167,19.45,82,0,5.14,PE,1670294581
325,bytow,54.1706,17.4919,0.12,94,100,1.75,PL,1670294765
326,xining,36.6167,101.7667,-1.6,41,90,0.43,CN,1670294766
327,katherine,-14.4667,132.2667,34.18,38,100,3.6,AU,1670294766
328,pehowa,29.9833,76.5833,13.67,40,1,2.48,IN,1670294766
329,abonnema,4.7084,6.7931,26.16,88,100,2.12,NG,1670294766
330,ulaangom,49.9811,92.0667,-26.0,91,34,0.26,MN,1670294767
331,humberto de campos,-2.5983,-43.4611,25.96,81,68,4.05,BR,1670294767
332,northam,51.0333,-4.2167,6.33,82,100,6.76,GB,1670294768
333,manali,13.1667,80.2667,26.05,69,68,4.92,IN,1670294768
334,hofn,64.2539,-15.2082,1.35,68,77,3.49,IS,1670294486
335,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1670294769
336,sisimiut,66.9395,-53.6735,1.46,75,100,5.82,GL,1670294769
337,parambu,-6.2111,-40.6944,25.68,57,57,4.02,BR,1670294769
338,san felipe,10.3399,-68.7425,18.44,97,47,0.29,VE,1670294769
339,muswellbrook,-32.2667,150.9,30.13,14,11,4.51,AU,1670294770
340,abu samrah,35.3029,37.1841,10.59,77,9,1.54,SY,1670294770
341,flinders,-34.5833,150.8552,20.14,63,56,4.82,AU,1670294771
342,san quintin,30.4833,-115.95,15.36,73,0,7.13,MX,1670294771
343,elizabeth city,36.2946,-76.2511,9.45,92,0,1.54,US,1670294771
344,kapoeta,4.7717,33.5903,26.43,46,51,5.04,SS,1670294772
345,yenagoa,4.9247,6.2642,24.86,91,82,1.54,NG,1670294600
346,kalengwa,-13.4659,25.0027,15.4,96,94,1.22,ZM,1670294772
347,wanning,18.8003,110.3967,21.08,77,88,6.02,CN,1670294772
348,tumaco,1.7986,-78.8156,23.71,82,16,1.66,CO,1670294773
349,port-gentil,-0.7193,8.7815,27.16,77,100,3.45,GA,1670294666
350,hoopstad,-27.8327,25.9083,14.89,21,0,2.66,ZA,1670294773
351,nouadhibou,20.931,-17.0347,18.99,82,36,6.69,MR,1670294774
352,panguna,-6.3164,155.4848,21.61,95,100,1.05,PG,1670294774
353,la romana,18.4273,-68.9728,22.2,100,20,3.09,DO,1670294774
354,khasan,42.4308,130.6434,-1.7,33,1,5.78,RU,1670294775
355,faanui,-16.4833,-151.75,26.66,75,20,7.19,PF,1670294728
356,port macquarie,-31.4333,152.9167,24.94,65,31,8.3,AU,1670294775
357,boa esperanca,-21.09,-45.5658,18.82,98,100,1.77,BR,1670294775
358,oytal,42.9057,73.2697,-5.59,89,90,1.42,KZ,1670294776
359,orlik,52.5178,99.825,-22.36,72,99,0.98,RU,1670294776
360,samarai,-10.6167,150.6667,28.87,67,88,3.85,PG,1670294568
361,los llanos de aridane,28.6585,-17.9182,15.86,85,0,2.57,ES,1670294777
